Customer Name,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment
Aaron Bergman,17,89,24646,3,4,4,344,Loyal Customers
Aaron Hawkins,13,56,20759,3,2,4,324,Big Spenders
Aaron Smayling,24,60,14207,2,2,2,222,At Risk
Adam Bellavance,36,68,20189,1,3,4,134,Big Spenders
Adam Hart,3,84,21720,4,4,4,444,Champions
Adam Shillingsburg,16,71,15445,3,3,3,333,Loyal Customers
Adrian Barton,28,77,25125,2,4,4,244,Big Spenders
Adrian Hane,22,54,11406,2,1,1,211,At Risk
Adrian Shami,42,44,11287,1,1,1,111,At Risk
Aimee Bixby,36,55,16205,1,1,3,113,At Risk
Alan Barnes,14,60,13053,3,2,2,322,At Risk
Alan Dominguez,6,55,18538,4,1,3,413,Recent Customers
Alan Haines,50,77,15281,1,4,3,143,At Risk
Alan Hwang,7,74,23641,4,3,4,434,Loyal Customers
Alan Schoenberger,3,73,21837,4,3,4,434,Loyal Customers
Alan Shonely,13,63,10692,3,2,1,321,At Risk
Alejandro Ballentine,6,68,15463,4,3,3,433,Loyal Customers
Alejandro Grove,14,67,13419,3,3,2,332,Loyal Customers
Alejandro Savely,19,77,21124,2,4,4,244,Big Spenders
Aleksandra Gannaway,3,58,14715,4,2,2,422,Recent Customers
Alex Avila,3,50,15993,4,1,3,413,Recent Customers
Alex Grayson,3,77,15071,4,4,2,442,Loyal Customers
Alex Russell,30,64,16469,2,2,3,223,At Risk
Alice McCarthy,16,77,18765,3,4,3,343,Loyal Customers
Allen Armold,7,55,6537,4,1,1,411,Recent Customers
Allen Goldenen,113,53,8928,1,1,1,111,At Risk
Allen Rosenblatt,55,50,9529,1,1,1,111,At Risk
Alyssa Crouse,7,61,12296,4,2,2,422,Recent Customers
Alyssa Tate,13,65,14945,3,3,2,332,Loyal Customers
Amy Cox,6,39,17155,4,1,3,413,Recent Customers
Amy Hunt,71,39,9202,1,1,1,111,At Risk
Andrew Allen,126,48,19758,1,1,4,114,Big Spenders
Andrew Gjertsen,49,78,16381,1,4,3,143,At Risk
Andrew Roberts,15,70,16914,3,3,3,333,Loyal Customers
Andy Gerbode,13,44,11339,3,1,1,311,At Risk
Andy Reiter,7,35,8545,4,1,1,411,Recent Customers
Andy Yotov,15,50,8542,3,1,1,311,At Risk
Anemone Ratner,3,50,11492,4,1,1,411,Recent Customers
Angele Hood,22,49,11357,2,1,1,211,At Risk
Ann Blume,8,64,18727,3,2,3,323,At Risk
Ann Chong,7,83,15027,4,4,2,442,Loyal Customers
Ann Steele,34,55,11818,2,1,1,211,At Risk
Anna Andreadi,29,91,17312,2,4,3,243,At Risk
Anna Chung,3,43,8932,4,1,1,411,Recent Customers
Anna Gayman,48,77,15392,1,4,3,143,At Risk
Anna Häberlin,31,76,18093,2,4,3,243,At Risk
Anne McFarland,26,79,25522,2,4,4,244,Big Spenders
Anne Pryor,38,63,16360,1,2,3,123,At Risk
Annie Thurman,3,55,13385,4,1,2,412,Recent Customers
Annie Zypern,27,68,11871,2,3,1,231,At Risk
Anthony Garverick,29,58,11687,2,2,1,221,At Risk
Anthony Jacobs,2,79,17757,4,4,3,443,Loyal Customers
Anthony Johnson,37,77,12284,1,4,2,142,At Risk
Anthony O'Donnell,8,60,15025,3,2,2,322,At Risk
Anthony Rawles,23,72,17339,2,3,3,233,At Risk
Anthony Witt,17,78,15143,3,4,2,342,Loyal Customers
Arianne Irving,14,50,9281,3,1,1,311,At Risk
Art Ferguson,6,98,28183,4,4,4,444,Champions
Art Foster,54,76,20064,1,4,4,144,Big Spenders
Arthur Gainer,24,75,19871,2,4,4,244,Big Spenders
Arthur Prichep,77,87,18546,1,4,3,143,At Risk
Arthur Wiediger,36,49,11016,1,1,1,111,At Risk
Ashley Jarboe,29,56,15949,2,2,3,223,At Risk
Astrea Jones,49,60,13259,1,2,2,122,At Risk
Barbara Fisher,23,62,9838,2,2,1,221,At Risk
Barry Blumstein,15,62,9883,3,2,1,321,At Risk
Barry Franz,9,69,24082,3,3,4,334,Loyal Customers
Barry Französisch,16,62,13206,3,2,2,322,At Risk
Barry Gonzalez,29,67,20023,2,3,4,234,Big Spenders
Barry Pond,6,57,10389,4,2,1,421,Recent Customers
Barry Weirich,23,51,17440,2,1,3,213,At Risk
Bart Folk,26,55,13942,2,1,2,212,At Risk
Bart Pistole,3,70,10087,4,3,1,431,Loyal Customers
Bart Watters,55,96,32315,1,4,4,144,Big Spenders
Becky Castell,30,87,15186,2,4,2,242,At Risk
Becky Martin,9,78,27173,3,4,4,344,Loyal Customers
Becky Pak,33,58,14811,2,2,2,222,At Risk
Ben Ferrer,17,86,23219,3,4,4,344,Loyal Customers
Ben Peterman,2,74,16809,4,3,3,433,Loyal Customers
Ben Wallace,41,68,14965,1,3,2,132,At Risk
Benjamin Farhat,27,62,13370,2,2,2,222,At Risk
Benjamin Patterson,40,67,18714,1,3,3,133,At Risk
Benjamin Venier,45,61,21366,1,2,4,124,Big Spenders
Berenike Kampe,27,64,13586,2,2,2,222,At Risk
Beth Fritzler,7,58,10588,4,2,1,421,Recent Customers
Beth Paige,13,55,12827,3,1,2,312,At Risk
Beth Thompson,29,70,11631,2,3,1,231,At Risk
Bill Donatelli,6,69,15276,4,3,3,433,Loyal Customers
Bill Eplett,36,102,28480,1,4,4,144,Big Spenders
Bill Overfelt,22,47,8093,2,1,1,211,At Risk
Bill Shonely,1,68,23511,4,3,4,434,Loyal Customers
Bill Stewart,29,66,18776,2,3,4,234,Big Spenders
Bill Tyler,29,50,11798,2,1,1,211,At Risk
Bobby Elias,22,60,18411,2,2,3,223,At Risk
Bobby Odegard,2,57,15029,4,2,2,422,Recent Customers
Bobby Trafton,52,53,10400,1,1,1,111,At Risk
Brad Eason,4,69,18986,4,3,4,434,Loyal Customers
Brad Norvell,12,70,26200,3,3,4,334,Loyal Customers
Brad Thomas,31,65,11683,2,3,1,231,At Risk
Bradley Drucker,20,44,13142,2,1,2,212,At Risk
Bradley Nguyen,10,65,12878,3,3,2,332,Loyal Customers
Bradley Talbott,34,55,15343,2,1,3,213,At Risk
Brenda Bowman,29,63,16007,2,2,3,223,At Risk
Brendan Dodson,8,36,10920,3,1,1,311,At Risk
Brendan Murry,35,55,12055,1,1,1,111,At Risk
Brendan Sweed,36,58,12179,1,2,1,121,At Risk
Brian Dahlen,98,48,9890,1,1,1,111,At Risk
Brian DeCherney,50,67,10772,1,3,1,131,At Risk
Brian Derr,10,68,16917,3,3,3,333,Loyal Customers
Brian Moss,34,78,17459,2,4,3,243,At Risk
Brian Stugart,30,71,22573,2,3,4,234,Big Spenders
Brian Thompson,19,58,14896,2,2,2,222,At Risk
Brooke Gillingham,10,49,11213,3,1,1,311,At Risk
Brosina Hoffman,24,97,28120,2,4,4,244,Big Spenders
Bruce Degenhardt,5,76,15959,4,4,3,443,Loyal Customers
Bruce Geld,7,56,15381,4,2,3,423,Recent Customers
Bruce Stewart,2,83,19234,4,4,4,444,Champions
Bryan Davis,36,64,13571,1,2,2,122,At Risk
Bryan Mills,3,84,20689,4,4,4,444,Champions
Bryan Spruell,10,69,17253,3,3,3,333,Loyal Customers
Candace McMahon,41,46,14798,1,1,2,112,At Risk
Cari MacIntyre,7,77,21608,4,4,4,444,Champions
Cari Sayre,16,68,22067,3,3,4,334,Loyal Customers
Cari Schnelling,51,60,12179,1,2,1,121,At Risk
Carl Jackson,14,56,13972,3,2,2,322,At Risk
Carl Ludwig,14,60,18180,3,2,3,323,At Risk
Carl Weiss,9,55,14357,3,1,2,312,At Risk
Carlos Daly,3,70,20117,4,3,4,434,Loyal Customers
Carlos Meador,37,42,10148,1,1,1,111,At Risk
Carlos Soltero,26,68,14936,2,3,2,232,At Risk
Carol Adams,19,57,23993,2,2,4,224,Big Spenders
Carol Darley,2,68,13232,4,3,2,432,Loyal Customers
Carol Triggs,29,52,14139,2,1,2,212,At Risk
Caroline Jumper,34,58,19582,2,2,4,224,Big Spenders
Cassandra Brandow,10,59,13529,3,2,2,322,At Risk
Catherine Glotzbach,22,35,4116,2,1,1,211,At Risk
Cathy Armstrong,14,56,12293,3,2,2,322,At Risk
Cathy Hwang,90,70,15667,1,3,3,133,At Risk
Cathy Prescott,70,65,19770,1,3,4,134,Big Spenders
Chad Cunningham,52,58,12522,1,2,2,122,At Risk
Chad McGuire,9,43,16566,3,1,3,313,At Risk
Chad Sievert,12,48,12348,3,1,2,312,At Risk
Charles Crestani,83,59,13350,1,2,2,122,At Risk
Charles McCrossin,27,55,20156,2,1,4,214,Big Spenders
Charles Sheldon,58,62,20050,1,2,4,124,Big Spenders
Charlotte Melton,1,55,12827,4,1,2,412,Recent Customers
Chloris Kastensmidt,5,96,14572,4,4,2,442,Loyal Customers
Chris Cortes,21,87,11483,2,4,1,241,At Risk
Chris McAfee,43,44,11621,1,1,1,111,At Risk
